source,author,title,description,url,urlToImage,content
"{'id': 'the-verge', 'name': 'The Verge'}",Jon Porter,Companies can’t wait to accessorize your AirTags,"Apple’s AirTags trackers could launch alongside a wide array of third-party accessories, if retailer listings and leaked photos are accurate. eBay, Etsy, and even Walmart, are already selling keychains.",https://www.theverge.com/2021/4/20/22393404/airtags-accessories-keychain-leaked-photos-listings-trackers-tile,https://cdn.vox-cdn.com/thumbor/T525_DL-kBAxKzFURXaBzTwx5QI=/0x182:2538x1511/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22456534/s_l1600.jpg,"eBay listings show accessories to attach the trackers to a key chain. | Image: ta9146 / eBay

 

 Apple’s long-rumored AirTags trackers could launch alongside a wide array of third-party accessories… [+2045 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Manish Singh,Flipkart to acquire online travel firm Cleartrip,"Flipkart said on Thursday it has agreed to acquire online travel firm Cleartrip as the Walmart-owned e-commerce firm looks to expand its offerings in the world’s second largest internet market. The deal values Cleartrip, which raised about $74 million prior t…",http://techcrunch.com/2021/04/15/flipkart-to-acquire-online-travel-firm-cleartrip/,https://techcrunch.com/wp-content/uploads/2019/07/flipkart_techcrunch.jpg?w=594,"Flipkart said on Thursday it has agreed to acquire online travel firm Cleartrip as the Walmart-owned e-commerce firm looks to expand its offerings in the world’s second largest internet market.
The … [+1945 chars]"
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Jordan Crook,Swyft raises $17.5 million to bring same-day delivery to all the retailers that aren’t Amazon,"Thanks to major players like Amazon and Walmart, we’ve become accustomed to next- or same-day delivery. But the pandemic has also renewed our interest in buying from smaller businesses and retailers. Swyft, a company that has just raised $17.5 million in Seri…",http://techcrunch.com/2021/04/07/swyft-raises-17-5-million-to-bring-same-day-delivery-to-all-the-retailers-that-arent-amazon/,https://techcrunch.com/wp-content/uploads/2021/04/Image-for-Techcrunch.jpeg?w=600,"Thanks to major players like Amazon and Walmart, we’ve become accustomed to next- or same-day delivery. But the pandemic has also renewed our interest in buying from smaller businesses and retailers.… [+2877 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Mashable BrandX and Walmart,Save your living room from a design slump with some fresh add-ons for spring,"AD CONTENT FROM WALMARTWe can probably all agree that it’s been a very long winter. But spring is coming, so pull up the shades, peel yourself off the sofa, and take a look around at the space where you’ve been eating, working, streaming, and generally hibern…",https://mashable.com/ad/feature/living-room-spring-upgrades/,https://mondrian.mashable.com/2021%252F03%252F22%252F8c%252F9d248bb5a2534ab29d6098a598ab3bcb.af978.png%252F1200x630.png?signature=00pw2AZrtFi2pZZl9nXRLTM5i90=,"We can probably all agree that its been a very long winter. But spring is coming, so pull up the shades, peel yourself off the sofa, and take a look around at the space where youve been eating, worki… [+471 chars]"
"{'id': None, 'name': 'New York Times'}",Christine Hauser,Arrest of Colorado Woman With Dementia Prompts Investigation,"Karen Garner, 73, of Loveland, Colo., walked out of a Walmart without paying for $13.88 worth of items. Police officers broke a bone in her arm and dislocated her shoulder, a lawsuit says.",https://www.nytimes.com/2021/04/20/us/karen-garner-loveland-police-dementia.html,https://static01.nyt.com/images/2021/04/20/multimedia/20xp--loveland1/merlin_186658308_ccff0e6a-2752-4c2b-b4ce-fbd46b36175b-facebookJumbo.jpg,"The city said in its statement that it had received an abundance of telephone calls, emails, and social media messages from constituents deeply concerned about the events cited in the lawsuit and abo… [+1734 chars]"
"{'id': 'ars-technica', 'name': 'Ars Technica'}",Timothy B. Lee,Walmart invests in self-driving startup Cruise,Cruise says it's about two years from commercial launch. We've heard that before.,https://arstechnica.com/cars/2021/04/walmart-invests-in-self-driving-startup-cruise/,https://cdn.arstechnica.net/wp-content/uploads/2021/04/cdn.corporate.walmart-760x380.png,"5 with 4 posters participating
Walmart is investing in self-driving startup Cruise as part of a massive $2.75 billion investment round in the companyan expansion of the $2 billion round announced in… [+1735 chars]"
"{'id': 'reuters', 'name': 'Reuters'}",Blake Brittain,Walmart hit with $115 million verdict over food-waste trade secrets - Reuters,Zest Labs Inc won $115 million from Walmart Inc in Arkansas federal court on its claims that Walmart stole a trade secret related to technology for reducing fresh food waste.,https://www.reuters.com/article/ip-walmart-food-waste-secrets-idUSL1N2M5326,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,"Zest Labs Inc won $115 million from Walmart Inc in Arkansas federal court on its claims that Walmart stole a trade secret related to technology for reducing fresh food waste.
A jury awarded Zest $60… [+2230 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Haley Henschel,This smart robot vacuum is back down to its Black Friday price of $99 at Walmart,"SAVE $80.88: As of April 5, the ionvac SmartClean 2000 robot vacuum is on sale at Walmart for just $99 — that's 45% off its usual retail price of $179.88.

Buying a robot vacuum is truly a ""get what you pay for"" experience where the less you're willing to spe…",https://mashable.com/shopping/april-5-ionvac-smartclean-2000-robot-vacuum/,https://mondrian.mashable.com/2021%252F04%252F05%252F18%252F35b38fb69da74e628b0552889a86d0cc.38f9f.png%252F1200x630.png?signature=Ejc0v_YsEgicCc0japT3OPAv9dc=,"SAVE $80.88: As of April 5, the ionvac SmartClean 2000 robot vacuum is on sale at Walmart for just $99  that's 45% off its usual retail price of $179.88.
Buying a robot vacuum is truly a ""get what y… [+2477 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Haley Henschel,This $400 smart robot vacuum is on sale for under $170 at Walmart,"SAVE $230.99: Usually $399.99, the Ecovacs Deebot 711 is on sale at Walmart for just $169 as of March 29 — an impressive 58% savings.

This National Cleaning Week (March 28 through April 3), stay humble. Instead of losing several hours to brushing dust bunnie…",https://mashable.com/shopping/march-29-ecovacs-deebot-711/,https://mondrian.mashable.com/2021%252F03%252F29%252F41%252F56695ca9cf1c4b7ead14ebf3a174b4f4.6aaa3.png%252F1200x630.png?signature=HjOVqqBPWmMdeMn0dyc6nMEXgdY=,"SAVE $230.99: Usually $399.99, the Ecovacs Deebot 711 is on sale at Walmart for just $169 as of March 29 an impressive 58% savings.
This National Cleaning Week (March 28 through April 3), stay humbl… [+1512 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Dylan Haas,It's your last chance to get 'Super Mario 3D All-Stars' (and it's on sale),"SAVE $10.05: Today (March 31) is the last day to get the Super Mario 3D All-Stars collection for the Nintendo Switch — it's also $10.05 off at Walmart.

Nostalgia is a powerful thing, and for those of us who respond to it, it's been a necessity over the last …",https://mashable.com/shopping/march-31-super-mario-3d-all-stars/,https://mondrian.mashable.com/2021%252F03%252F31%252Fea%252F416a8596282342d9b513af1463084a65.f5b26.png%252F1200x630.png?signature=LJBOyb-9yH0vbNENLReMh6UhYXY=,"SAVE $10.05: Today (March 31) is the last day to get the Super Mario 3D All-Stars collection for the Nintendo Switch it's also $10.05 off at Walmart.
Nostalgia is a powerful thing, and for those of … [+1329 chars]"
